manipulation	rank_name	id	Motility	day	mda	logit.motility	GSH.GSSG
before	S3	N566043	0.666666667	1	NA	0.301029996	NA
before	D	N566045	0.893617021	1	10.91541862	0.924279285	1.576528602
before	S2	N566048	0.883495146	1	5.07832655	0.879860148	0.816255326
before	D	N566049	0.767857143	1	12.93638473	0.519525104	1.978892047
before	S3	N566050	0.636363636	1	5.230745782	0.243038048	1.656885914
before	S1	N566051	0.546875	1	5.281552192	0.081670046	0.859312193
before	S3	N566052	0.605263158	1	3.79687597	0.185636577	0.399299853
before	D	N566054	0.24324325	1	2.108974106	-0.492915506	0.885153112
before	S1	N566056	0.882352941	1	9.436387551	0.875061263	NA
before	S3	N566057	0.808510638	1	6.021067725	0.625541086	1.032080018
before	D	N566059	0.76	1	1.273042774	0.500602351	2.360492498
before	D	N566060	0.673076923	1	11.05654754	0.313619123	1.059220959
before	S2	N566061	0.675	1	1.943110214	0.317420412	2.459091558
before	S2	N566062	0.611111111	1	4.014749689	0.196294645	4.654328258
before	S1	N566064	0.7407407	1	4.361801197	0.455931864	2.303259535
before	D	N566065	0.90082645	1	6.154900657	0.95824527	3.101787149
before	D	N566068	0.84	1	15.629549	0.720159303	5.385568898
before	S3	N566069	0.81666666	1	12.56378518	0.648803376	2.573645305
before	S1	N566070	0.907692308	1	7.603746044	0.992700763	2.66123456
before	S3	N566071	0.842105263	1	13.45756607	0.726998727	6.243625803
before	S1	N566072	0.6929134	1	9.309229172	0.353418094	1.945327027
before	S3	N566075	0.7894737	1	1.474039035	0.574031309	4.563666169
before	S2	N566077	0.7336956	1	13.6965213	0.440137572	1.978929677
before	S3	N566078	0.8804348	1	6.409405096	0.867092405	1.063094295
before	S2	N566101	0.862745098	1	5.570697284	0.798354636	5.169747624
before	S1	N566103	0.804597701	1	10.51565527	0.614649118	1.152383493
before	D	N566104	0.72	1	12.70013092	0.410174465	7.741961209
before	S3	N566106	0.72	1	4.762197772	0.410174465	0.171260179
before	S1	N566109	NA	1	NA	NA	NA
before	S3	N566110	NA	1	NA	NA	NA
before	S2	N566111	0.890410959	1	7.408117096	0.90982337	17.48466402
before	S2	N566112	0.717948718	1	7.167034543	0.405765346	1.916206553
before	D	N566113	0.333333333	1	4.247032581	-0.301029996	1.840405271
before	S1	N566118	0.6875	1	2.396877099	0.342422681	0.314716894
before	S1	N566119	0.706666667	1	11.26541833	0.381853189	0.600725199
before	S2	N566121	0.791666667	1	3.01784434	0.579783597	0.721653234
before	D	N566125	0.53846157	1	5.899700551	0.066946845	0.904087794
before	S1	N566126	0.43609023	1	6.783163885	-0.111633262	1.112891825
before	S1	N566127	0.842696629	1	6.139616016	0.728933227	0.435568802
before	D	N566128	0.898305085	1	3.751714716	0.94612462	0.410882436
before	S2	N566129	0.9285714	1	6.907357333	1.113943165	2.238761033
before	S3	N566130	0.46268657	1	2.137199889	-0.064940802	0.345124428
before	S2	N566135	0.958333333	1	9.430742395	1.361727832	1.405177987
before	S3	N566137	0.393442623	1	7.910513376	-0.187990482	0.721719194
before	S3	N566138	0.7113402	1	11.74532509	0.391691046	1.107479708
before	D	N566139	0.560386473	1	11.32322959	0.105416596	2.050960964
before	S1	N566140	0.848101266	1	9.078487337	0.746893557	NA
before	S2	N566141	0.708333333	1	9.108968461	0.385350881	1.123892195
before	S1	N566142	0.61904764	1	6.48013363	0.210853404	2.16562884
before	S2	N566143	0.7222222	1	15.79106762	0.4149733	2.556667832
before	S2	N566144	0.75757575	1	2.985163548	0.494850004	7.730799409
before	S3	N566145	0.80487806	1	3.841650908	0.615423984	4.393821227
before	S2	N566146	0.7169811	1	8.235778026	0.403692269	NA
before	D	N566147	0.3043478	1	1.400294994	-0.359021996	6.551047161
before	S2	N566148	0.8018018	1	4.27503832	0.606967321	4.002971558
before	S1	N566149	0.8269231	1	3.199178645	0.679226016	1.312259982
before	S3	N566150	0.75409836	1	5.293056078	0.486666571	5.898846294
before	D	N566153	0.78333336	1	10.2905978	0.558154574	7.403256088
before	D	N566160	0.802259887	1	7.895259762	0.6082203	2.005658753
before	S1	N566178	0.82758623	1	NA	0.681241308	NA
before	S3	N566043	NA	2	NA	NA	NA
before	D	N566045	0.89534885	2	4.649294638	0.932248275	1.065981125
before	S2	N566048	0.625	2	2.74093492	0.22184875	0.195670464
before	D	N566049	0.705882353	2	22.51621571	0.380211242	NA
before	S3	N566050	0.7721519	2	11.12428942	0.530057333	0.93493247
before	S1	N566051	0.590909091	2	14.31753423	0.159700843	0.525739765
before	S3	N566052	0.965517241	2	5.044857287	1.447158026	1.047676654
before	D	N566054	0.533333333	2	3.644593516	0.057991946	1.596051798
before	S1	N566056	0.76	2	1.837276324	0.500602351	0.632551958
before	S3	N566057	0.62962963	2	8.366413208	0.230448922	0.431564784
before	D	N566059	0.8979592	2	5.003846488	0.94448275	1.60969541
before	D	N566060	0.746835443	2	9.848087663	0.469822016	0.46267783
before	S2	N566061	0.631578947	2	4.175101472	0.234083205	0.310341387
before	S2	N566062	0.916666667	2	8.408969025	1.041392687	0.423342106
before	S1	N566064	0.7804878	2	NA	0.550907457	1.772174692
before	D	N566065	0.74242425	2	9.986406296	0.459747176	13.15541028
before	D	N566068	0.5714286	2	11.92025652	0.124938787	8.646808056
before	S3	N566069	0.9111111	2	9.57751647	1.010723806	3.912515088
before	S1	N566070	0.90082645	2	11.32751506	0.95824527	2.519135617
before	S3	N566071	0.8679245	2	8.464129846	0.817659684	0.808481663
before	S1	N566072	0.86440676	2	8.902922897	0.804480116	3.367874651
before	S3	N566075	0.627451	2	1.718425543	0.226396414	6.926172262
before	S2	N566077	0.8181818	2	5.021874982	0.653212461	4.253490211
before	S3	N566078	0.7837838	2	5.964022327	0.559308052	2.097928724
before	S2	N566101	0.725806452	2	7.827517881	0.422763593	0.88382507
before	S1	N566103	0.960784314	2	9.91321621	1.389166088	0.499853884
before	D	N566104	0.686746988	2	6.591228555	0.340901508	1.797942886
before	S3	N566106	0.882352941	2	5.868648493	0.875061263	0.318749963
before	S1	N566109	NA	2	NA	NA	NA
before	S3	N566110	NA	2	NA	NA	NA
before	S2	N566111	0.725	2	9.515419746	0.421005313	0.848334806
before	S2	N566112	0.912621359	2	5.405745641	1.018885343	3.5141278
before	D	N566113	0.772727273	2	8.390836413	0.531478918	2.67678671
before	S1	N566118	0.922330097	2	4.83558481	1.074633618	1.946432789
before	S1	N566119	0.75609756	2	10.76299938	0.491361692	0.689068215
before	S2	N566121	0.8695652	2	13.56864228	0.823908674	0.694968817
before	D	N566125	0.44444445	2	NA	-0.096910003	NA
before	S1	N566126	0.73	2	6.263809465	0.431959096	NA
before	S1	N566127	0.7361111	2	8.583968884	0.445522244	NA
before	D	N566128	0.82978725	2	9.23750753	0.687974669	3.45986971
before	S2	N566129	0.8915663	2	1.984780657	0.914989367	0.77318469
before	S3	N566130	0.5555556	2	NA	0.096910091	NA
before	S2	N566135	0.9009901	2	6.863352553	0.959041397	0.646557978
before	S3	N566137	0.7083333	2	5.354217888	0.385350811	0.336461584
before	S3	N566138	0.75	2	NA	0.477121255	NA
before	D	N566139	0.8267717	2	4.813004183	0.678766759	0.737421192
before	S1	N566140	0.92763156	2	9.872510868	1.107826305	0.562329785
before	S2	N566141	0.38636363	2	12.95595339	-0.200914854	3.258960026
before	S1	N566142	0.81609195	2	7.363796744	0.647138354	4.796340964
before	S2	N566143	0.86885244	2	5.547560517	0.82118581	11.60621489
before	S2	N566144	0.88235295	2	10.61058015	0.8750613	6.273238111
before	S3	N566145	0.6813187	2	14.1670289	0.329993729	4.669722763
before	S2	N566146	0.8181818	2	7.625575981	0.653212461	5.489726488
before	D	N566147	0.8372093	2	8.030116826	0.711204453	5.639157853
before	S2	N566148	0.9558824	2	4.379153773	1.335792587	2.414360146
before	S1	N566149	0.86885244	2	4.242843353	0.82118581	2.226728032
before	S3	N566150	0.6793893	2	10.33251905	0.32614069	3.707631177
before	D	N566153	0.61538464	2	25.76714136	0.204120028	4.315328293
before	D	N566160	0.6976744	2	3.74606956	0.363177864	1.147879043
before	S1	N566178	0.6875	2	NA	0.342422681	NA
before	S3	N566043	0.428571429	4	NA	-0.124938736	NA
before	D	N566045	0.45	4	2.592635323	-0.087150176	2.200014082
before	S2	N566048	0.72727275	4	6.247447725	0.425968782	3.352680664
before	D	N566049	0.758241758	4	22.84273941	0.496426409	0.346348283
before	S3	N566050	0.85714287	4	19.22717413	0.778151296	3.168236992
before	S1	N566051	0.802816901	4	4.905515227	0.609746819	2.823295905
before	S3	N566052	0.865384615	4	1.702522821	0.808114472	0.434283331
before	D	N566054	0.366666667	4	2.927521833	-0.237360915	0.791014913
before	S1	N566056	0.794871795	4	14.5452544	0.588271707	2.026888092
before	S3	N566057	0.575757576	4	6.342841659	0.132625566	0.502791632
before	D	N566059	0.88461536	4	0.917846034	0.884606477	3.669097533
before	D	N566060	0.62962963	4	18.74627546	0.230448922	1.172704227
before	S2	N566061	0.76	4	6.833970295	0.500602351	1.673432741
before	S2	N566062	0.888888889	4	3.887198478	0.903089987	6.220866031
before	S1	N566064	0.9101124	4	16.47727444	1.005395247	1.252209309
before	D	N566065	0.9052632	4	24.79902888	0.980256155	2.266911383
before	D	N566068	0.65957445	4	57.82019192	0.287241676	2.354808287
before	S3	N566069	0.8181818	4	21.66810307	0.653212461	1.396012533
before	S1	N566070	0.6730769	4	9.376695491	0.313619077	11.69372452
before	S3	N566071	0.78688526	4	9.041212367	0.567297922	11.97545455
before	S1	N566072	0.9133858	4	11.67880383	1.023065157	8.870359634
before	S3	N566075	0.73333335	4	5.640107586	0.439332731	12.28749292
before	S2	N566077	0.7972973	4	30.93437834	0.59476076	14.9802612
before	S3	N566078	0.76811594	4	18.78757556	0.520155882	2.413874827
before	S2	N566101	0.80952381	4	2.978328243	0.628388931	NA
before	S1	N566103	0.901639344	4	7.584870638	0.962211438	3.896988507
before	D	N566104	0.771929825	4	11.9879984	0.529509325	2.848540077
before	S3	N566106	0.639534884	4	3.994456456	0.249000996	0.587837825
before	S1	N566109	NA	4	NA	NA	NA
before	S3	N566110	0.26666668	4	NA	-0.439332664	NA
before	S2	N566111	0.921348315	4	13.50772734	1.068715815	2.719469979
before	S2	N566112	0.804878049	4	4.463004465	0.615423953	1.585773139
before	D	N566113	0.416666667	4	4.536391503	-0.146128035	1.314974073
before	S1	N566118	0.86	4	8.728866009	0.788370416	4.5284248
before	S1	N566119	0.7721519	4	7.895942389	0.530057333	3.135191344
before	S2	N566121	0.9025641	4	11.16979495	0.966759054	2.281900465
before	D	N566125	0.88095236	4	9.332213055	0.869231633	0.821991713
before	S1	N566126	0.6888889	4	9.735599954	0.345233681	9.385308625
before	S1	N566127	0.92105263	4	5.281487694	1.06694678	NA
before	D	N566128	0.7	4	4.569701507	0.367976785	1.004153757
before	S2	N566129	0.90839696	4	8.47436157	0.996365785	3.445675556
before	S3	N566130	0.42857143	4	4.882035918	-0.124938734	0.344803646
before	S2	N566135	0.8095238	4	6.146586601	0.628388903	NA
before	S3	N566137	0.80487806	4	8.607483037	0.615423984	1.100789893
before	S3	N566138	0.84615386	4	7.87963302	0.740362736	2.015637969
before	D	N566139	0.5365854	4	5.154235474	0.06366914	15.53176944
before	S1	N566140	0.4516129	4	15.74993604	-0.084320891	7.378827408
before	S2	N566141	0.8611111	4	9.295716806	0.792391649	2.909123541
before	S1	N566142	0.76	4	10.14190623	0.500602351	0.961711139
before	S2	N566143	0.8113208	4	9.440321601	0.633468584	7.334879164
before	S2	N566144	0.5	4	6.559794083	0	6.620390038
before	S3	N566145	0.8454546	4	45.53068114	0.738034208	1.516826766
before	S2	N566146	0.8876405	4	6.833970295	0.897627311	4.536935028
before	D	N566147	0.90625	4	2.436393196	0.985276743	15.39311358
before	S2	N566148	0.90909094	4	13.21679199	1.000000162	2.278243791
before	S1	N566149	0.91566265	4	19.86316006	1.035715549	0.962778708
before	S3	N566150	0.9148936	4	14.01460967	1.031408369	7.71833074
before	D	N566153	0.5	4	14.40977064	0	6.523024702
before	D	N566160	0.6666667	4	10.74176476	0.301030061	3.283613101
before	S1	N566178	0.9607843	4	19.12076461	1.389165926	3.724236029
after	D	N566043	0.8181818	23	1.533168118	0.653212461	2.41254533
after	S2	N566045	0.85294116	23	7.378020335	0.763427937	0.831470248
after	S3	N566048	0.8372093	23	3.701199356	0.711204453	0.615530745
after	D	N566049	0.8	23	11.20532512	0.602059991	4.546258335
after	S3	N566050	0.74285716	23	8.912955151	0.460730878	1.30182969
after	S2	N566051	0.5641026	23	6.750672412	0.111973823	8.55816041
after	S3	N566052	0.74666667	23	8.994938832	0.469434434	2.318592173
after	D	N566054	0.23880596	23	0.274298166	-0.503450218	3.256217643
after	S1	N566056	0.5609756	23	4.905515227	0.106455314	5.908226488
after	S3	N566057	0.7804878	23	8.867810009	0.550907457	2.60817663
after	S3	N566059	0.6956522	23	3.239715686	0.359021996	11.44256123
after	S2	N566060	0.76760566	23	16.11671036	0.518912622	0.705265761
after	S1	N566061	0.7075472	23	10.59137577	0.383699633	1.953766577
after	S2	N566062	0.70454544	23	8.671024091	0.377418311	6.240888784
after	S1	N566064	0.68421054	23	1.729861505	0.335792129	1.982889552
after	D	N566065	0.7222222	23	4.854908531	0.4149733	NA
after	D	N566068	0.5	23	8.376229578	0	1.314765427
after	S1	N566069	0.7473684	23	6.655698069	0.471047059	4.023303856
after	S1	N566070	0.43333334	23	7.080124396	-0.116505557	0.694473749
after	D	N566071	0.8923077	23	12.62488902	0.918329988	NA
after	S2	N566072	0.86440676	23	9.830906364	0.804480116	1.848867259
after	S2	N566075	0.7264151	23	4.062360489	0.42409274	4.316481485
after	D	N566077	0.9285714	23	7.641858117	1.113943165	2.012099988
after	S3	N566078	0.7346939	23	4.900053673	0.442359198	0.739892118
after	S2	N566101	0.8472222	23	4.639442404	0.743937075	7.364061772
after	S3	N566103	0.964497	23	14.51305781	1.434035829	1.881354244
after	S1	N566104	0.9230769	23	12.08948145	1.079181105	NA
after	S2	N566106	0.9	23	8.092604911	0.954242509	6.476790863
after	S1	N566109	0.78504676	23	13.82092906	0.56255153	0.85330975
after	S1	N566110	0.75	23	10.53353385	0.477121255	9.534224021
after	D	N566111	0.8202247	23	1.849296896	0.659202821	6.653385959
after	S3	N566112	0.61764705	23	5.496972767	0.208275926	4.506533581
after	D	N566113	0.7671233	23	6.616466503	0.517739136	2.432416712
after	S3	N566118	0.72727275	23	5.836770107	0.425968782	12.57106578
after	S2	N566119	0.7790698	23	9.830906364	0.547321284	1.433160011
after	S1	N566121	0.8101266	23	29.48409135	0.630088765	1.410609614
after	D	N566125	NA	23	NA	NA	NA
after	S2	N566126	0.53061223	23	6.826246382	0.053245486	NA
after	D	N566127	0.71875	23	7.804391117	0.407485327	5.195259822
after	S3	N566128	0.8181818	23	7.332875194	0.653212461	4.438711951
after	S3	N566129	0.7133758	23	4.694392472	0.396005517	NA
after	S3	N566130	0.3030303	23	8.895582656	-0.361727842	1.810935196
after	S2	N566135	0.6075949	23	8.642084301	0.189879477	2.552638089
after	S1	N566137	0.828125	23	8.000020065	0.682883184	2.990038116
after	S2	N566138	0.7254902	23	5.055553605	0.422073697	0.879460498
after	D	N566139	0.6117647	23	29.74994608	0.197489393	0.025260744
after	S1	N566140	0.90697676	23	7.673971819	0.989004697	NA
after	S1	N566141	0.675	23	9.384471075	0.317420412	1.579002654
after	D	N566142	0.46341464	23	4.328215212	-0.06366907	NA
after	D	N566143	0.7826087	23	16.82840332	0.556302512	2.036950129
after	S3	N566144	0.65384614	23	4.809763389	0.276206385	NA
after	S1	N566145	0.9459459	23	10.884293	1.243037658	12.13564807
after	S1	N566146	0.8181818	23	4.493747398	0.653212461	2.595750851
after	S1	N566147	0.9122807	23	9.033342195	1.01703333	NA
after	S2	N566148	0.8	23	6.936601173	0.602059991	2.653110841
after	S2	N566149	0.65	23	1.96060334	0.268845312	3.216157814
after	S3	N566150	0.7567568	23	4.052328235	0.492915624	3.526174896
after	S3	N566153	0.78571427	23	6.86135927	0.56427139	NA
after	D	N566160	0.8208955	23	5.165908395	0.661181377	9.095804639
after	S2	N566178	NA	23	NA	NA	NA
after	D	N566043	0.75384617	24	3.380167238	0.486076135	1.874021514
after	S2	N566045	0.9153846	24	10.63850279	1.03415419	1.988943859
after	S3	N566048	0.7669173	24	7.984971684	0.517238494	0.973930232
after	D	N566049	0.7628866	24	6.794454198	0.507503889	3.133797546
after	S3	N566050	0.68	24	13.82092906	0.327358934	10.8954883
after	S2	N566051	0.62650603	24	NA	0.224641661	4.70834166
after	S3	N566052	0.671875	24	2.74123166	0.311249161	2.117082439
after	D	N566054	0.41666666	24	5.032767447	-0.146128048	6.87594288
after	S1	N566056	0.76	24	3.002516123	0.500602351	9.780370357
after	S3	N566057	0.45833334	24	6.257876484	-0.072550655	0.929522931
after	S3	N566059	0.4827586	24	4.423521622	-0.029963259	10.52036989
after	S2	N566060	0.5641026	24	9.387961518	0.111973823	0.445807609
after	S1	N566061	0.8681319	24	7.64143795	0.818445966	6.699900058
after	S2	N566062	0.8032787	24	4.33316586	0.611014866	3.709353683
after	S1	N566064	0.3888889	24	3.811554147	-0.196294625	1.842127735
after	D	N566065	0.8333333	24	9.043374449	0.6989699	NA
after	D	N566068	0.51282054	24	8.090310348	0.022276442	2.890517393
after	S1	N566069	0.88	24	5.356521216	0.865301426	3.267475058
after	S1	N566070	0.9126214	24	6.414923981	1.018885566	4.209619633
after	D	N566071	0.91346157	24	8.396294085	1.023481269	2.795166564
after	S2	N566072	0.91566265	24	8.697261696	1.035715549	1.559314656
after	S2	N566075	0.625	24	3.08923188	0.22184875	3.2524813
after	D	N566077	0.85	24	9.139814709	0.753327667	7.346690908
after	S3	N566078	0.7627119	24	6.30456919	0.507084564	0.923548838
after	S2	N566101	0.6956522	24	2.323490062	0.359021996	1.141789296
after	S3	N566103	0.7777778	24	8.691226862	0.5440681	3.030444824
after	S1	N566104	0.7802198	24	4.400907741	0.550228403	13.01077548
