gender	alcohol	attractiveness
Female	None	65
Female	None	70
Female	None	60
Female	None	60
Female	None	60
Female	None	55
Female	None	60
Female	None	55
Female	2_Beers	70
Female	2_Beers	65
Female	2_Beers	60
Female	2_Beers	70
Female	2_Beers	65
Female	2_Beers	60
Female	2_Beers	60
Female	2_Beers	50
Female	4_Beers	55
Female	4_Beers	65
Female	4_Beers	70
Female	4_Beers	55
Female	4_Beers	55
Female	4_Beers	60
Female	4_Beers	50
Female	4_Beers	50
Male	None	50
Male	None	55
Male	None	80
Male	None	65
Male	None	70
Male	None	75
Male	None	75
Male	None	65
Male	2_Beers	45
Male	2_Beers	60
Male	2_Beers	85
Male	2_Beers	65
Male	2_Beers	70
Male	2_Beers	70
Male	2_Beers	80
Male	2_Beers	60
Male	4_Beers	30
Male	4_Beers	30
Male	4_Beers	30
Male	4_Beers	55
Male	4_Beers	35
Male	4_Beers	20
Male	4_Beers	45
Male	4_Beers	40
